Calories (kcal),Distance (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Move Minutes count,Inactive duration (ms),Walking duration (ms),Day
187.8954600566851,394.52193117141724,0.9982056966739984,1.3509339094161987,0.30215588212013245,825,11.0,3531220,1011403.0,Sunday
2011.7923136750555,2307.518412053585,0.8046367128816575,1.3717323541641235,0.2721670269966125,6161,84.0,76056501,4640697.0,Monday
1870.7943030129225,679.1837902665137,1.5175513464786416,15.079999923706055,0.3033622205257416,2651,40.0,78430462,2236856.0,Tuesday
1927.9479790496268,1338.4613246917725,0.5250785994415069,4.199999809265137,0.2510583996772766,4313,64.0,77797645,3409920.0,Wednesday
1784.0590920355344,636.8306924104689,0.6782667907124593,3.559999942779541,0.29121825098991394,2620,46.0,74895170,1715951.0,Thursday
2018.305019417342,2847.8810390234,1.6954203178448355,6.130000114440918,0.2793554365634918,6112,77.0,79009953,4784456.0,Friday
2412.540308846509,10602.34349656105,0.7903980491661814,1.9600000381469729,0.24309326708316806,17498,197.0,73550463,11633783.0,Saturday
1970.5169479644187,1821.3117011785507,0.5784469719074886,1.5948913097381592,0.2557815611362457,4294,66.0,78868973,3871221.0,Sunday
1888.3965064022007,1080.2615287899969,0.988238416559616,15.949999809265135,0.2719799280166626,3140,41.0,78247282,2738697.0,Monday
2093.000673695106,3781.9402456879616,0.9866303754754892,3.25,0.2510583996772766,6936,86.0,68160562,6098149.0,Tuesday
1981.83632634168,2408.359532415867,0.7156099671913133,5.389999866485597,0.2574118375778198,5100,64.0,79487302,4047998.0,Wednesday
2078.7445613315053,2600.3404994010925,0.9742054810221744,5.769999980926514,0.2719799280166626,5545,82.0,69413786,5985225.0,Thursday
2153.492326618752,4683.953730344771,0.7264300999835142,2.0999999046325684,0.2615191638469696,9214,122.0,76942701,7540384.0,Friday
2150.2109173370527,4686.330510377884,0.4809597902789034,1.6200000047683716,0.2503799796104431,8980,114.0,75687255,8124606.0,Saturday
1902.8381646149533,799.5907406806946,0.8091144457099829,5.860000133514403,0.2498439699411392,2868,33.0,79974155,2656644.0,Sunday
2009.1515848423348,2595.989801883697,0.8674882078010483,14.369999885559082,0.24759499728679654,5885,73.0,75676144,5065719.0,Monday
1864.3175940507736,1291.6078588962555,1.026913768237405,1.7599999904632568,0.31696999073028564,3124,37.0,78116930,2504544.0,Tuesday
2397.549146729743,8582.539311587809,1.0751735829749185,10.109999656677246,0.2510583996772766,14883,179.0,68419494,11438130.0,Wednesday
2199.373499653624,5641.09631305933,1.870960044199302,13.18000030517578,0.2563503682613373,10523,129.0,71234065,8073711.0,Thursday
2456.150145729817,10043.79007601738,0.6629147845495623,1.7699999809265137,0.2615191638469696,16738,189.0,70137097,12498632.0,Friday
2495.0124793975697,7335.794294953346,0.7122956762583941,1.8429429531097408,0.2510583996772766,13776,190.0,70572251,12836239.0,Saturday
2186.1390631886034,5562.815697443621,0.639549070484891,1.6000000238418581,0.2668868899345398,9670,120.0,77783595,7700641.0,Sunday
2204.4721140524425,5620.488818335398,0.6636915850947878,8.9399995803833,0.2698372304439545,10470,139.0,74055288,8488024.0,Monday
2385.448618874715,5957.876696348189,1.2133591869485163,9.489999771118164,0.255498081445694,11649,162.0,64290033,12233246.0,Tuesday
2217.794192354201,3997.53039431572,0.8702722022749825,16.299999237060547,0.25186800956726074,7870,111.0,73712688,8238056.0,Wednesday
2293.107815552045,4337.975494146347,3.2785091461889504,10.520000457763672,0.2510583996772766,9311,137.0,71413887,9893317.0,Thursday
2362.656837049397,6213.072491943835,0.7982450685939892,9.670000076293944,0.2510583996772766,12105,172.0,71716086,10781357.0,Friday
2554.2228550445684,5681.119612812996,0.8913732147590141,5.329999923706055,0.2510583996772766,11465,170.0,69006279,14129173.0,Saturday
2391.848191843443,5116.240514874458,0.8703206871163851,3.990000009536743,0.2558481991291046,9937,131.0,71115290,11486602.0,Sunday
2137.5743276704143,2611.800545334816,1.1011285444071321,2.220000028610229,0.2615191638469696,6029,86.0,79204382,6897434.0,Monday
2142.5977241700657,1913.8118317723277,0.6270376557561835,1.6599999666213991,0.2571515738964081,5676,67.0,75558811,7029442.0,Tuesday
1915.1349324342966,953.7188807725906,0.4679593618567068,2.4200000762939453,0.3036004602909088,3027,37.0,81229088,3021265.0,Wednesday
2019.9333013977334,1965.0993270874026,0.4432991073340941,1.3827227354049685,0.2502709329128265,5051,71.0,75492528,5084278.0,Thursday
2040.875554586567,1679.0013185739515,0.9959576717493772,10.800000190734863,0.2615191638469696,5517,78.0,78334680,5432469.0,Friday
2207.7432308671146,3766.937472879887,0.6394397217142902,2.740000009536743,0.2510583996772766,7185,86.0,77541342,8026790.0,Saturday
1937.558704070981,1401.7718889713287,0.4875935950279776,1.429421305656433,0.2517887353897095,2808,40.0,83131841,3268159.0,Sunday
1926.0171839193156,1086.9812798500059,0.37462903079284987,1.2614240646362305,0.2559747099876404,3008,40.0,81729071,3130230.0,Monday
1929.9105892413413,2899.721033215523,0.800805911706659,1.6200000047683716,0.31157419085502625,5123,62.0,81515318,4342226.0,Tuesday
2187.339798479042,4059.2668160200124,0.9400989284415996,11.3100004196167,0.2615191638469696,7828,98.0,77078827,7678385.0,Wednesday
2478.02911211905,9539.265057206154,0.7032053633848224,2.8204021453857417,0.25490400195121765,13766,135.0,74449719,6833478.0,Thursday
2120.256364332485,4060.402631759644,0.5838472698570623,1.8200000524520876,0.2510583996772766,7274,96.0,79617375,6564006.0,Friday
2064.9208455203056,3969.7878682613373,0.8862187566762686,1.7300000190734863,0.30734798312187195,7040,84.0,80248897,5679690.0,Saturday
2091.466289355649,3395.4221628904347,1.2368271811562754,15.56999969482422,0.2898412644863129,6102,77.0,75153060,6206930.0,Sunday
2210.4815035891274,3305.4012176394463,1.243093073203675,10.640000343322754,0.2590416967868805,7502,147.0,75895242,5002076.0,Monday
1998.296253929707,1908.4001831412313,0.6184164342289877,2.4100000858306885,0.2510583996772766,5276,63.0,75621277,4337900.0,Tuesday
1967.0392079774049,1941.3958718776705,1.5542794862735008,16.399999618530273,0.2682328522205353,5105,67.0,73010027,3787388.0,Wednesday
2030.4206133913424,1876.2606471506444,0.7053146324389045,2.609999895095825,0.24987928569316864,5224,70.0,75740576,5043241.0,Thursday
2013.8750620809967,1830.3453399213467,0.7554819998466787,3.4100000858306885,0.2719799280166626,4814,65.0,80126724,4612282.0,Friday
2404.752775522013,9089.572198987009,1.0694605373848756,3.25,0.2653484344482422,15318,179.0,73692588,11815255.0,Saturday
2388.12162949874,8885.176367067308,1.5242578939566465,18.739999771118164,0.2615191638469696,15553,193.0,67658493,11536672.0,Sunday
2256.274192524215,7534.396928466349,0.8838464268797913,13.529999732971193,0.2615191638469696,12961,154.0,65830387,10933523.0,Monday
2364.358009142682,4086.89130717516,0.6759871864167467,2.4800000190734863,0.2516249716281891,8051,121.0,68511597,10944943.0,Tuesday
1956.0634605114728,1912.3750181794169,2.0848970530339184,14.039999961853027,0.2806490957736969,5281,67.0,77864941,3811163.0,Wednesday
2017.12079744703,3939.646033406257,0.9220046557702892,2.559999942779541,0.282440721988678,7672,93.0,76811730,5302852.0,Thursday
2152.6109907725386,3529.6779019236565,0.9492713527279201,3.119999885559082,0.26253798604011536,7147,91.0,74131356,7149732.0,Friday
